"ONDERWIJSSECTOR","JAAR","SCHOOLTYPE","RPA_GEBIEDCODE","RANDSTAD","CATEGORIE_SCHOOLOMVANG","CATEGORIE_BESTUUROMVANG","AANTAL_LEERLINGEN","OMVANG_FORMATIE_TOTAAL","OMVANG_FORMATIE_MANAGER","OMVANG_FORMATIE_OP","OMVANG_FORMATIE_LIO","OMVANG_FORMATIE_OOP_OBP","OMVANG_FORMATIE_ONBEKEND","LEERLING_LERAAR_RATIO","OMVANG_FORMATIE_OP_LA","OMVANG_FORMATIE_OP_LB","OMVANG_FORMATIE_OP_LC","OMVANG_FORMATIE_OP_LD","OMVANG_FORMATIE_OP_LE","OMVANG_FORMATIE_OP_OVERIG","AANDEEL_FORMATIE_OP_LA","AANDEEL_FORMATIE_OP_LB","AANDEEL_FORMATIE_OP_LC","AANDEEL_FORMATIE_OP_LD","AANDEEL_FORMATIE_OP_LE","AANDEEL_FORMATIE_OP_OVERIG","STREEFPERCENTAGE_FORMATIE_OP_LA","STREEFPERCENTAGE_FORMATIE_OP_LB","STREEFPERCENTAGE_FORMATIE_OP_LC","STREEFPERCENTAGE_FORMATIE_OP_LD","STREEFPERCENTAGE_FORMATIE_OP_LE","STREEFPERCENTAGE_FORMATIE_OP_OVERIG"
1,2017," ",26,,,,35437,2278.6,155.9,1893.4,0,229.3,0,18.7,1438.4,449.2,5.9,0,0,0,76,23.7,0.3,0,0,0,,,,,,
1,2006," ",27,,,,58682,3987.9,343.4,3217.1,25.5,401.9,0,18.2,3158.4,58.7,0,0,0,0,98.2,1.8,0,0,0,0,,,,,,
1,2007," ",27,,,,55423,3664.8,279.3,3036.6,18.3,330.6,0,18.3,2974.2,62.4,0,0,0,0,97.9,2.1,0,0,0,0,,,,,,
1,2008," ",27,,,,58067,3859.6,299.4,3190.5,19.3,350.5,0,18.2,3128.6,61.1,0.8,0,0,0,98.1,1.9,0,0,0,0,,,,,,
1,2009," ",27,,,,57320,3890.2,300.1,3228.2,10.8,351,0,17.8,3157.6,70.6,0,0,0,0,97.8,2.2,0,0,0,0,,,,,,
1,2010," ",27,,,,56532,3757,279.7,3126.9,2,348.4,0,18.1,2879,247,1,0,0,0,92.1,7.9,0,0,0,0,,,,,,
1,2011," ",27,,,,55525,3454.6,265.8,2903.3,0,285.5,0.1,19.1,2489.7,413.4,0.1,0,0,0,85.8,14.2,0,0,0,0,,,,,,
1,2012," ",27,,,,54444,3364.9,261.2,2820.5,1,282.2,0,19.3,2303.6,516.6,0.3,0,0,0,81.7,18.3,0,0,0,0,,,,,,
1,2013," ",27,,,,53173,3321.5,252.1,2785.5,0,283.8,0,19.1,2135.2,649.4,1,0,0,0,76.7,23.3,0,0,0,0,,,,,,
1,2014," ",27,,,,52116,3240.9,239.9,2713.4,1,283,3.6,19.2,1983.4,729.1,0.9,0,0,0,73.1,26.9,0,0,0,0,58,40,2,0,0,0
1,2015," ",27,,,,51229,3157.6,227.4,2637.5,1,291.7,0,19.4,1893.6,741,3,0,0,0,71.8,28.1,0.1,0,0,0,,,,,,
1,2016," ",27,,,,50313,3107.6,221.3,2586.4,0,299.9,0,19.5,1828.1,750.4,7.4,0,0,0.5,70.7,29,0.3,0,0,0,,,,,,
1,2017," ",27,,,,45455,2811.2,198.9,2340.4,1,270.9,0,19.4,1664.2,663.3,11.1,0,0,1.8,71.1,28.3,0.5,0,0,0.1,,,,,,
1,2006," ",28,,,,66158,4430.3,436.1,3576.2,53.4,364.6,0,18.5,3548.8,27.5,0,0,0,0,99.2,0.8,0,0,0,0,,,,,,
1,2007," ",28,,,,60464,4066.2,366.7,3321.9,42.8,334.8,0,18.2,3291.2,30.7,0,0,0,0,99.1,0.9,0,0,0,0,,,,,,
1,2008," ",28,,,,65918,4403.6,397.9,3624.3,33,348.4,0,18.2,3591.9,31.5,1,0,0,0,99.1,0.9,0,0,0,0,,,,,,
1,2009," ",28,,,,65503,4521,407.2,3719.3,20,374.5,0,17.6,3678.4,38.7,2.2,0,0,0,98.9,1,0.1,0,0,0,,,,,,
1,2010," ",28,,,,64792,4368.5,387.4,3590.2,18.5,372.4,0,18,3357,230.2,2.9,0,0,0.1,93.5,6.4,0.1,0,0,0,,,,,,
