"owis","site"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00WH","http://www.gomarus.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00WI","http://www.groevenbeek.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00WK","http://www.sbodewingerd.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00WO","http://www.iviodenhaag.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00XA","http://www.trinitascollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00XK","http://www.veurslyceum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00YG","http://www.detwister.nu"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00YH","http://www.csdehoven.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00YO","http://www.waldheim.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ZD","http://www.bonhoeffer.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ZF","http://www.renn4.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ZN","http://www.hetrelief-attendiz.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ZO","http://www.isg-arcus.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ZR","http://www.schilderspoort.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ZS","http://www.elimschoolrijssen.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ZV","http://www.lauwerscollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ZX","http://www.dockinga.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01AI","http://www.gelinckschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01AK","http://www.johanseckelommen.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01BE","http://www.csgulbevanhouten.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01BO","http://www.toermalijn-sbo.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01CE","http://www.detwine.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01CN","http://www.iemenschoer.net"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01DM","http://www.sbohetmozaiek-sittard.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01EK","http://www.pro-kranenburg.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01EO","http://www.psg.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01ET","http://www.ignatiusgymnasium.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01FN","http://www.sbosam.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01FP","http://www.hetbaken.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01FU","http://www.nuborghcollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01FX","http://www.debodde.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01FY","http://www.augustinianum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01GE","http://www.sbodehorst.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01GF","http://www.conexus.nu"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01GH","http://www.het-willem.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01GL","http://www.sophianum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01GN","http://www.valuascollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01GQ","http://www.sbocarolus.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01GV","http://www.desancta.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01GX","http://www.chrlyceumdelft.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01HQ","http://www.probolwerk.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01IW","http://www.dongemondcollege.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01JE","http://www.ommezwaai-arnhem.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01JO","http://www.profgroenschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01JQ","http://www.dewindvang.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01JR","http://www.puntspeciaal.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01JW","http://www.sbo-dekristal.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01KD","http://www.deschakelpro.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01KF","http://www.gregorius.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01KI","http://www.desprong.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01KJ","http://www.dekeerkring.nl"
