ONDERWIJSSECTOR,JAAR,BRIN_NUMMER,INSTELLINGSNAAM,MAATWERKAFSPRAAK_FORMATIE_OP_LA,MAATWERKAFSPRAAK_FORMATIE_OP_LB,MAATWERKAFSPRAAK_FORMATIE_OP_LC,MAATWERKAFSPRAAK_FORMATIE_OP_LD,MAATWERKAFSPRAAK_FORMATIE_OP_LE,MAATWERKAFSPRAAK_FORMATIE_OP_OVERIG,DATUM_MAATWERKAFSPRAAK,TOELICHTING_MAATWERKAFSPRAAK
3,2014,"13OR","Pontes",0,50,30,20,0,0,2015-07-16,""
3,2014,"13PE","Varendonck College",0,50,26,24,0,0,2014-06-12,""
3,2014,"13WH","De Goudse SGM Leo Vroman",0,39,32,29,0,0,2014-12-19,""
3,2014,"13ZU","Reitdiepcollege",0,53,25,22,0,0,2014-11-05,""
3,2014,"14DC","RSG Simon Vestdijk",0,60,13,27,0,0,2014-09-17,""
3,2014,"14FW","OSG Sevenwolden",0,51,16,33,0,0,2015-02-03,""
3,2014,"14LF","J v Br College vest Molenstr",0,54,15,31,0,0,2014-10-14,""
3,2014,"14NQ","Dominicus",0,43,23,34,0,0,2014-10-29,""
3,2014,"14OY","Gerrit Rietveld College",0,7,45,48,0,0,2015-03-24,""
3,2014,"14PS","Bisschop Coll Broekhin",0,42,39,19,0,0,2015-03-04,""
3,2014,"14RC","Meerwegen College",0,28,49,23,0,0,2014-07-17,""
3,2014,"14RF","ZAAM Oost",0,16,58,26,0,0,2014-12-10,""
3,2014,"14RL","VOvA (2)",0,41,46,12,0,0,2015-12-17,""
3,2014,"14RP","CSG",0,53,19,28,0,0,2015-10-05,""
3,2014,"14RR","DevelsteinCollege",0,23,46,31,0,0,2014-10-15,""
3,2014,"14SE","Sgm Sint Nicolaas Lyceum",0,10,30,60,0,0,2014-09-29,""
3,2014,"14SF","SGM De Goudse Waarden",0,32,48,20,0,0,2014-11-07,""
3,2014,"14SM","Gooise Scholenfederatie",0,26,46,28,0,0,2014-06-24,""
3,2014,"14SW","Roncalli Scholengemeenschap",0,55,15,30,0,0,2014-12-11,""
3,2014,"14SZ","Newmancollege",0,35,35,30,0,0,2014-07-18,""
3,2014,"14TD","Sgm Het Rynlands Sassenh",0,17,45,38,0,0,2014-12-09,""
3,2014,"14UM","Almende College",0,45,29,26,0,0,2014-09-22,""
3,2014,"14VG","Alkwin Kollege",0,8,52,40,0,0,2014-11-25,""
3,2014,"14WE","S. Adelbert College",0,33,43,23,0,0,2014-06-03,""
3,2014,"14WI","Chr. Gymnasium Beyers Naude",0,37,33,30,0,0,2015-01-20,""
3,2014,"14WJ","Het Vlietland College",0,26,46,28,0,0,2015-02-12,""
3,2014,"14WL","Krimpenerwaard College",0,25,46,29,0,0,2014-10-02,""
3,2014,"15BH","Chr Sgm Groene Hart",0,23,47,30,0,0,2014-11-03,""
3,2014,"15BS","Sondervick College",0,41,31,28,0,0,2014-06-16,""
3,2014,"15EO","OSG Libanon Lyceum",0,4,51,45,0,0,2015-01-07,""
3,2014,"15HX","Thorbecke VO",0,45,38,17,0,0,2015-12-10,""
3,2014,"15IS","Het Kwadrant Prakt Ond",0,77,11,12,0,0,2014-10-29,""
3,2014,"15KR","Wolfert van Borselen sgr",0,32,43,25,0,0,2014-12-08,""
3,2014,"15OM","Het Schoonhovens College",0,25,45,30,0,0,2014-12-02,""
3,2014,"15SC","Erasmianum Gem Gymnasium",0,3,52,45,0,0,2015-11-13,""
3,2014,"15VQ","Stellingwerf College",0,54,28,18,0,0,2014-09-11,""
3,2014,"15XV","Reg SGM Hoeksche Waard",0,29,40,31,0,0,2015-03-06,""
3,2014,"16AW","Opb SGM Echnaton",0,45,35,20,0,0,2014-10-08,""
3,2014,"16EI","Lyceum Schravenlant",0,46,20,34,0,0,2014-12-09,""
3,2014,"16IH","RSG Ter Apel",0,59,18,23,0,0,2014-11-12,""
3,2014,"16MQ","Kon Willem II College",0,41,18,41,0,0,2014-09-25,""
3,2014,"16OX","2College",0,59,18,23,0,0,2014-12-11,""
3,2014,"16PE","Connect College",0,48,35,17,0,0,2015-03-04,""
3,2014,"16PI","OPB SGM Winkler Prins",0,52,28,20,0,0,2014-12-01,""
3,2014,"16PK","CSG Calvijn",0,27,47,26,0,0,2014-10-16,""
